fid_,waarneming,euring,soortid,datum,tijdstip,blok,aantal,id_type_wa,aktid,broedcode,jaar,dtkey,overvliege,naam,x,y
5386661.0,196904310.0,15080,350,2020-07-23,15:29,FS62B,1,92,25,7,2020,723,0,Wielewaal,220525.85869999975,161782.35330000147
5399525.0,278830502.0,15080,350,2023-07-02,10:21,FS63A,1,92,25,7,2023,702,0,Wielewaal,216635.39039999992,173694.27919999883
5401740.0,219556514.0,15080,350,2021-07-10,17:04,FS63A,1,92,3116,14,2021,710,0,Wielewaal,217370.47029999644,171535.5185999982
5401873.0,215716561.0,15080,350,2021-06-02,21:27,FS63A,1,92,25,7,2021,602,0,Wielewaal,217359.59089999646,171381.75070000067
5402633.0,279060463.0,15080,350,2023-07-03,20:03,FS63A,1,92,3116,14,2023,703,0,Wielewaal,217570.08179999888,172737.41209999844
5403329.0,214526828.0,15080,350,2021-05-23,10:15,FS63A,2,92,3117,6,2021,523,0,Wielewaal,217888.60390000045,172042.15249999985
5403663.0,218684414.0,15080,350,2021-07-01,17:04,FS63A,1,92,3116,14,2021,701,0,Wielewaal,217396.0293999985,172638.82770000026
5404688.0,278353372.0,15080,350,2023-06-28,17:35,FS63A,1,92,25,7,2023,628,0,Wielewaal,217999.93029999733,171512.2685999982
5405444.0,249358149.0,15080,350,2022-07-17,09:29,FS63A,3,92,3121,12,2022,717,0,Wielewaal,217296.8849999979,172367.63960000128
5405694.0,219325445.0,15080,350,2021-07-08,11:03,FS63A,1,92,3117,6,2021,708,0,Wielewaal,217691.59080000222,171358.45650000125
5408845.0,194272055.0,15080,350,2020-06-17,11:43,FS63A,1,92,3116,14,2020,617,0,Wielewaal,217990.93519999832,171628.00890000165
5420354.0,216437991.0,15080,350,2021-06-09,07:56,FS63D,1,416,25,7,2021,609,0,Wielewaal,221259.2269999981,167382.41099999845
5616104.0,194116060.0,15080,350,2020-06-15,10:55,FS77B,1,92,25,7,2020,615,0,Wielewaal,231787.7480000034,212323.75090000033
5620171.0,279384954.0,15080,350,2023-07-07,09:03,FS77D,4,1,3121,12,2023,707,0,Wielewaal,232262.9829000011,209735.1625000015
5656457.0,196617228.0,15080,350,2020-07-13,10:22,FS87C,1,92,3121,12,2020,713,0,Wielewaal,238895.09619999677,208569.65370000154
5659825.0,247321414.0,15080,350,2022-06-27,07:47,FS87D,1,210,3117,6,2022,627,0,Wielewaal,240702.26330000162,206434.06769999862
5660183.0,247321426.0,15080,350,2022-06-27,08:58,FS87D,1,210,3117,6,2022,627,0,Wielewaal,240452.8024000004,207012.0742000006
5660184.0,246505971.0,15080,350,2022-06-23,08:24,FS87D,1,210,3117,6,2022,623,0,Wielewaal,240484.61129999906,206997.40359999985
5661449.0,320786900.0,15080,350,2024-07-23,13:55,FS87D,1,1,3116,14,2024,723,0,Wielewaal,239747.65950000286,208507.2950000018
5664071.0,247521093.0,15080,350,2022-07-01,11:33,FS87D,1,210,3117,6,2022,701,0,Wielewaal,239709.2873999998,208347.77169999853
5667401.0,279084704.0,15080,350,2023-07-04,08:12,FS87D,1,210,3121,12,2023,704,0,Wielewaal,241325.43649999797,208183.9375
5673794.0,248121905.0,15080,350,2022-07-04,09:19,FS87D,1,210,3117,6,2022,704,0,Wielewaal,242586.57289999723,206077.15590000153
5680286.0,214837801.0,15080,350,2021-05-26,09:16,FS87D,1,92,3117,6,2021,526,0,Wielewaal,240298.37420000136,208440.65560000017
5688402.0,196516522.0,15080,350,2020-07-04,08:35,FS87D,1,92,25,7,2020,704,0,Wielewaal,239408.57989999652,208710.98110000044
5689043.0,276078082.0,15080,350,2023-06-03,15:09,FS87D,1,92,3116,14,2023,603,0,Wielewaal,241466.30860000104,207458.53489999846
5690212.0,244604165.0,15080,350,2022-05-25,17:59,FS87D,1,92,25,7,2022,525,0,Wielewaal,241153.50569999963,205685.98259999976
5694253.0,248121934.0,15080,350,2022-07-06,11:25,FS87D,2,210,3117,6,2022,706,0,Wielewaal,239655.44210000336,207405.53599999845
5697216.0,247521083.0,15080,350,2022-06-30,09:53,FS87D,1,210,3117,6,2022,630,0,Wielewaal,239779.15569999814,207261.33190000057
5699518.0,250526423.0,15080,350,2022-07-27,10:52,FS96A,1,210,25,7,2022,727,0,Wielewaal,245608.99870000035,201428.6325000003
8129486.0,317415253.0,15080,350,2024-06-25,14:56,FS66C,1,92,25,7,2024,625,0,Wielewaal,218295.66130000353,196537.53610000014
11765015.0,195374692.0,15080,350,2020-07-01,11:31,FS96C,2,1,3121,12,2020,701,0,Wielewaal,245807.93999999762,196175.83419999853
